title,artist_name,style,genre,description
Anna Alma Tadema,Alma-Tadema Lawrence ,Romanticism,portrait,Artist's daughter who also became an artist
The Women of Amphissa,Alma-Tadema Lawrence ,Romanticism,genre painting,"Alma-Tadema met his second wife, Laura, when she was only seventeen years old, and apparently fell in love with her at first sight. Although he used the outbreak of the Franco-Prussian War as a pretence to move to England, it is thought that he actually moved to London to be closer to Laura. Upon his arrival, he contracted with Laura for private art lessons, and thereafter asked her to marry him. Although her father originally refused due to their age difference (she was 18, he was 34), he relented on the condition that the two got to know each other first. Apparently the match was good, as they stayed married for the rest of their lives. Alma-Tadema used his wife, Laura Therese Alma-Tadema, who was a painter in her own right, as a model in many of his paintings, The Women of Amphissa of which is the most prominent example."
The Roses of Heliogabalus,Alma-Tadema Lawrence ,Romanticism,genre painting,"The Roses of Heliogabalus is one of Alma-Tadema’s most famous paintings. It depicts the Roman Emperor Egabalus (Heliogabalus), a debauched psychotic. In this episode, he is attempting to smother his unsuspecting audience with rose petals, which have been let loose from false ceiling panels. Alma-Tadema, being a meticulous perfectionist, wanted each petal to be as perfectly realistic as possible, and had shipments of rose petals sent to him from the Riviera over the winter of 1887-1888, so he would have fresh examples. This was a common practice by Alma-Tadema, who often ordered flowers from all over Europe and sometimes Africa, as examples for his paintings, rushing to complete the work before the flowers died."
Spring,Alma-Tadema Lawrence ,Romanticism,genre painting,"In this painting, Alma-Tadema depicted the practice of sending children out to get flowers on the morning of May Day, or May 1st, but placed the scene in ancient Rome. A great historical researcher, Alma-Tadema was meticulous about portraying the historical elements in his paintings as the actually appeared. In this painting, he went to great lengths to portray the Roman originals, everything from the music instruments to the architectural details and dress are accurate to Roman history.  He had an insatiable curiosity about classical antiquity, and he created over three hundred paintings on the topic. This painting was used a reference for Cecil B. De Mille’s movie “Cleopatra,” in 1934."
Whispering Noon,Alma-Tadema Lawrence ,Romanticism,genre painting,This is a cropped image.
In the Style of Kairouan,Klee Paul,Expressionism,abstract,"After Klee’s visit to Tunisia, where he was inspired by the quality of light, he returned home with the determination to be a painter, which was something he previously was unable to call himself. This led him to create this painting, a composition of simple colored shapes, and was the first purely abstract painting created by Paul Klee. This composition is an illustration of Klee’s ability to use intonations of color to evoke a musical feeling. He begins the composition with the large rectangle in the center, then builds upon it’s strength and color to build the remainder of the composition, which flows from the first large note."
Death for the Idea,Klee Paul,Expressionism,symbolic painting,"At the beginning of World War I, Klee felt distanced from the event and it affected him very little. However, after his two friends Marc and Macke both died in the conflict, the effects of the war began to take hold on his consciousness. He used art as an outlet for his distress, creating a series of lithographs of war scenes. In Death for the Idea, we see a body lying at the bottom of a series of lines and shapes, building up above him like a cityscape. Klee joined the war effort, but was spared battle, as he was employed instead as a clerk, as well as to paint camouflage on airplanes. He was also able to paint throughout the war and his work was included in many exhibits."
Persian Nightingales,Klee Paul,Cubism,abstract,"""Literary references permeate the works of Swiss artist Paul Klee, whose Persische Nachtigallen (Persian Nightingales) most likely alludes to the verses of the fourteenth- century poet Hafiz.

Mortal never won to view thee, Yet a thousand lovers woo thee; Not a nightingale but knows In the rose-bud sleeps the rose.
Johann Wolfgang von Goethe introduced the Persian writer to Germanspeaking audiences in his West-östlicher Divan, and it was probably here that Klee first learned of Hafiz's work. In sensuous poetic images, the Persian master celebrates the joys of love, wine, and the natural world. Two of his recurring motifs are the nightingale and the rose, the former symbolizing earthly yearning, and the latter divine beauty and glory.

A pink rose appears in the lower left quadrant of Klee's watercolor, cradled by two sharply pointed leaves whose forms mirror the nightingales' heads. Above and to the left of the flower is the letter R (presumably for Rose ). Three nightingales occupy center stage, and one of them is inverted and drunk with desire, its beak pointing toward the letter N (presumably for Nachtigallen). Celestial bodies float across the sheet, enlivening it with circles, halfmoons, and stars, while on the N's right stem Klee hoists a bright red pennant.

Klee further alludes to Persian miniature painting in the drawing's gemlike delicacy, ornamentation, and lustrous color, as well as its disregard for scale and perspective. Even the structure of the composition, which one seems to enter through an arched niche or parted curtains, recalls the format of many Persian miniatures. While Klee was living in Germany, from 1898 to 1933, he would have had ample opportunity to see Persian art in public collections, such as the Kaiser-Friedrich-Museum in Berlin (now Bode Museum), as well as the Bayerisches Nationalmuseum and the Staatsbibliothek in Munich. He no doubt also saw an important 1910 exhibition of Islamic art in Munich that featured more than 3,500 objects, including, as Klee's friend and colleagueWassily Kandinsky wrote in a published review, ""carpets, majolica, weapons, ceramics, textiles, and finallyâ\u0080\u0094the most arresting and closest to us todayâ\u0080\u0094Persian miniatures.""

This radiant watercolor reflects in miniature a wondrous, microcosmic universe, one that even grants status to lowly consonants. Indeed, the letters R and N are fully integrated within the composition; they are scaled to the size of the nightingales and juxtaposed in the same indeterminate space. As is often the case in Persian art and particularly in Hafiz's poetry, the earthly and the divine are poised in a delicate and ambiguous balance. Individual shapes shift one against the other, each within the confines of Klee's wiry line and each flooded with thin washes of color. Although perfectly balanced for the moment, one senses that a tiny slip of a line in one direction or another might set the whole creation tumbling."""
Kamel in rhythmischer Baumlandschaft klein,Klee Paul,"Expressionism, Cubo-Expressionism",landscape,"Camel (in Rhythmic Landscape with Trees) (German: Kamel (in rhythmischer baumlandschaft)) is a painting by Swiss artist Paul Klee, made in 1920, in the collection of the Kunstsammlung Nordrhein-Westfalen in Düsseldorf, Germany.[1]

The painting is one of the first Klee did in oils and is typical of the artist's interest in colour theory, draughtsmanship and musicality. It is also one of many images in Western art to use camels as subject matter.[2]

(from Wikipedia)"
Temple Gardens,Klee Paul,"Cubism, Expressionism",figurative,"""Temple Gardens"" appears to recall Klee's impressions from his visit to Tunisia with Macke in April 1914. The watercolor has the brilliance of a stained-glass window on a sunny day. Stairways lead to the doors of various garden pavilions, palm trees peek over sections of high walls, and domed towers are here and there. Klee sometimes liked to rearrange his compositions with scissors. Perhaps in this instance, he thought the work looked too symmetrical and therefore cut it into three sections and moved the center one to the left. Now the site depicted in ""Temple Gardens,"" which earlier was only pleasantly full of the ""angles and corners"" he had admired in Kairouan, has become truly labyrinthine."
Twittering Machine,Klee Paul,Expressionism,figurative,"Twittering Machine (Die Zwitscher-Maschine) is a 1922 watercolor and pen and ink oil transfer on paper by Swiss-German painter Paul Klee. Like other artworks by Klee, it blends biology and machinery, depicting a loosely sketched group of birds on a wire or branch connected to a hand-crank. Interpretations of the work vary widely: it has been perceived as a nightmarish lure for the viewer or a depiction of the helplessness of the artist, but also as a triumph of nature over mechanical pursuits. It has been seen as a visual representation of the mechanics of sound. Originally displayed in Germany, the image was declared ""degenerate art"" by Adolf Hitler in 1933 and sold by the Nazi party to an art dealer in 1939, whence it made its way to New York. One of the better known of more than 9,000 works produced by Klee, it is among the more famous images of the New York Museum of Modern Art (MoMA). It has inspired several musical compositions and, according to a 1987 magazine profile in New York Magazine, has been a popular piece to hang in children's bedrooms.

The picture depicts a group of birds, largely line drawings; all save the first are shackled on a wire (or, according to The Washington Post, a ""sine-wave branch"") over a blue and purple background which the MoMA equates with the ""misty cool blue of night giv[ing] way to the pink flow of dawn"". Each of the birds is open-beaked, with a jagged or rounded shape emerging from its mouth, widely interpreted as its protruding tongue. The end of the perch dips into a crank.

Twittering Machine has invited very different opinions on its meaning, which Gardner's Art Through the Ages (2009) suggests is characteristic of Klee's work: ""Perhaps no other artist of the 20th century matched Klee's subtlety as he deftly created a world of ambiguity and understatement that draws each viewer into finding a unique interpretation of the work."" The image has frequently been perceived as whimsical, with a 1941 article in The Hartford Courant describing it as ""characterized by the exquisite absurdity of Lewis Carroll's ""Twas brillig and the slithy toves"" and The Riverside Dictionary of Biography placing it in ""a very personal world of free fancy"". Sometimes, the image is perceived as quite dark. MoMA suggests that, while evocative of an ""abbreviated pastoral"", the painting inspires ""an uneasy sensation of looming menace"" as the birds themselves ""appear closer to deformations of nature"". They speculate that the ""twittering machine"" may in fact be a music box that produces a ""fiendish cacophony"" as it ""lure[s] victims to the pit over which the machine hovers"". Kay Larson of New York magazine (1987), too, found menace in the image, which she describes as ""a fierce parable of the artist's life among the philistines"": ""Like Charles Chaplin caught in the gears of Modern Times, they [the birds] whir helplessly, their heads flopping in exhaustion and pathos. One bird's tongue flies up out of its beak, an exclamation point punctuating its grim fate—to chirp under compulsion."" Without drawing conclusions on emotional impact, Werckmeister, in 1989's The Making of Paul Klee's Career, sees a deliberate blending of birds and machine, suggesting the piece is part of Klee's general interest in ""the formal equation between animal and machine, between organism and mechanism"" (similar to the ambiguity between bird and airplane in a number of works). According to Wheye and Kennedy (2008), the painting is often interpreted as ""a contemptuous satire of laboratory science"".

Arthur Danto, who does not see the birds as deformed mechanical creatures but instead as separate living elements, speculates in Encounters & Reflections (1997) that ""Klee is making some kind of point about the futility of machines, almost humanizing machines into things from which nothing great is to be hoped or feared, and the futility in this case is underscored by the silly project of bringing forth by mechanical means what nature in any case provides in abundance."" Danto believes that perhaps this machine has been abandoned, the birds opportunistically using it as a perch from which they issue the sounds the inert machine is failing to produce.[9] Danto also suggests, conversely, that the painting may mean simply that ""it might not be a bad thing if we bent our gifts to the artificial generation of bird songs.""

Wheye and Kennedy suggest that the picture may represent a sound spectrograph, with the heads of the birds perhaps representing musical notes and the size, shape and direction of their tongues suggesting the ""volume, intensity, degree of trilling, and degree of shrillness of their voices"". This reflects the earlier view of Soby's Contemporary Painters (1948) that: ”The bird with an exclamation point in its mouth represents the twitter's full volume; the one with an arrow in its beak symbolizes an accompanying shrillness – a horizontal thrust of piercing song. Since a characteristic of chirping birds is that their racket resumes as soon as it seems to be ending, the bird in the center droops with lolling tongue, while another begins to falter in song; both birds will come up again full blast as soon as the machine's crank is turned.”

The Swiss-born Klee had been teaching at the Bauhaus school in Germany for a year when he completed this ink drawing on watercolor in 1922. The work was displayed for several years in the Alte Nationalgalerie in Berlin until Adolf Hitler declared it and many other works by the Swiss-born Klee ""degenerate art"" in 1933. The Nazis seized the painting and sold it in 1939 for $120 to an art dealer in Berlin. The New York MoMA purchased the painting that same year.["
Ad Parnassum,Klee Paul,Expressionism,cityscape,"This painting, considered Klee’s masterpiece, is an example of Klee’s masterful skill with color. Small blocks of shifting colors float through the background, set in place with a thick black outline, evincing the idea of a building or a house. It is also the finest example of Klee’s ability in pointillism and technical ability as an artist. As an artist with great skill with color, he was also a great teacher at color mixing and theory. He wrote his great treatise, a collection of lectures, entitled Writings on Form and Design Theory, which is considered one of the most influential writings in modern art."
Struck from the List,Klee Paul,Expressionism,symbolic painting,"Klee was employed in many successful teaching positions throughout his life, but his stay at the Düsseldorf Academy in Nazi Germany was cut short. In 1933 he was singled out by a Nazi newspaper, which called him out as a Galician Jew. The Gestapo searched his house, and he was quickly fired from his job. Klee created Struck from the List to commemorate this terrible occasion. His sadness at being “stuck from the list” is evident in his monochromatic color scheme, depicting an image that is not entirely abstract, as it clearly resembles a sad faces, tears running down the cheeks."
Historic ground,Klee Paul,Expressionism,cityscape,"In 1910, Klee had his first solo exhibition, and the year later, became acquainted with Wassily Kandinsky and Franz Marc, two avant garde figures in the art world. A further visit to Paris in 1912 exposed him to examples of Cubism and Abstract Art, or “pure painting,” which led him to experiment on his own with abstract shapes and color palettes. His landscape work Houses near the Gravel Pit, is one of the first of such experiments, which used blocks of color that did not overlap. This painting also illustrates his attempt to begin abstracting the visual forms into shapes and colors that led to idea of the design, rather than painting the design itself."
Angel Applicant,Klee Paul,Expressionism,religious painting,"It seems doubtful that this [i]Angel Applicant[/i], resembling the offspring of a bulldog and a Halloween mask, will ever reach heaven. In 1939, Klee composed twenty-nine works that feature angels, having in earlier years only sporadically depicted them. His angels were not the celestial kind but hybrid creatures beset with human foibles and whims. Klee's angels are ""forgetful, ""still female, ""ugly,"" incomplete,"" or ""poor""—as the titles he gave these pictures indicate.

Suffering from an incurable illness and sensing himself hovering between life and death, Klee possibly felt a kinship with these outsiders. In this work, he covered a sheet of newspaper with black gouache on which he then drew the outlines of the figure and of the crescent moon with a thick, soft graphite pencil. Then he filled in these forms with a thin white wash. It is the black ground peeking through the white pigment that gives this creature its ghostly shimmer."
Sea Grasses and Blue Sea,Avery Milton,Expressionism,marina,"Avery painted scenes of nature throughout his career, but he preferred simple forms to realistic details, and his palette is distinctively personal. The results come close to abstraction. In Sea Grasses and Blue Sea (based on Avery's memories of Provincetown, Massachusetts), the sky is a straight and narrow blue band at the painting's upper rim. The rest of the canvas is divided into two trapezoids of almost equal size and shape. The lower of these, the sea grass, is pale and lightly streaked, and echoes the tonality of the sky; above it is a wedge of a predominantly darker, saturated blue, with patches both of a lighter blue and, more sharply, of deep black. Magically, the overall effect is of waves flecked with white foam.
That black is paradoxical: as Matisse remarked of the black in one of his own paintings, it is used as ""a color of light and not as a color of darkness."" In various ways, in fact, Avery is closer to Henri Matisse than to the styles that prevailed in America during his lifetime-in his love of clarified form and flat color, for example, and in the sense of rich serenity that permeates his art."
Thérèse dreaming,Balthus,Expressionism,genre painting,"Balthus’s model, Thérèse Blanchard, appears—as the title of this work suggests—unaware of her surroundings and lost in thought. Blanchard was about twelve or thirteen when the artist painted this canvas. She would figure in at least nine other compositions, either alone or with her cat or her brother. Balthus, like countless modern artists, believed the subject of the child to be a source of raw spirit, not yet molded by societal expectations. Many early twentieth‑century avant‑garde artists, from Paul Gauguin to Edvard Munch to Pablo Picasso, also viewed adolescent sexuality as a potent site of psychological vulnerability as well as lack of inhibition, and they projected these subjective interpretations into their work. While it may be unsettling to our eyes today, Thérèse Dreaming draws on this history. [url href=https://www.metmuseum.org/art/collection/search/489977]MET[/url]"
Charred Journal: Firewritten V,Louis Morris,Abstract Expressionism,abstract,"Charred Journal is executed in the traditional Abstract Expressionist style, and draws from the all-over style of Pollock's action painting. At only about two feet wide, the painting is dwarfed by some of Louis' Unfurleds, which measure over twenty feet horizontally. However, Louis manages to achieve a remarkable sense of dynamism within a relatively compact space. This canvas predates Louis' exposure to Helen Frankenthaler's stain paintings, after which he began his Veil series and mature Color Field work."
Russet,Louis Morris,Color Field Painting,abstract,"Louis made Russet by pouring thinned acrylic paintdown a tilted unprimed canvas, allowing gravity, rather than a paintbrush, to dictate its flow and contours. The two dark vertical lines in the painting indicate where he folded the loose canvas to guide the paint in sections. Along the top of the canvas, the vibrant individual colors he used reveal themselves in the edges of this otherwise muted, ethereal painting. The work belongs to a series of breakthrough paintings the artist made between 1954 and 1958, known as Veils because of the translucent layers and billowing shapes of their aqueous pools of color. The title of this work refers to the overall reddish-brown tone of the paint and, like many of Louis's titles, was assigned to the work by Clement Greenberg, an influential American art critic and a close friend of the artist."
Dalet Kaf,Louis Morris,Color Field Painting,abstract,"Dalet Kaf is an example of Louis' later Veils. Like the Unfurleds, they are poured from top to bottom, aided by gravity: to work within the small confines of his studio, Louis would staple canvas to the walls and pour paint from above. Here, the thin washes of paint slither across the surface of the canvas, the brighter colors muted by the ""veil"" of black that frames the composition."
Dalet Zayin,Louis Morris,Color Field Painting,abstract,"Dalet Zayin is one of a group of paintings known as 'Veils' which Louis began in 1954, when experimenting with the technique of staining unprimed canvas, and then continued between 1957 and 1960. The later 'Veils', of which there are approximately 130, were begun in the winter of 1957-58, soon after his exhibition at the Jackson Gallery in November 1957.* The series was effectively concluded after his show at French and Company, held in April 1959, but occasional 'Veil' paintings were still painted until the winter of 1959-60. The exact dating of Louis' 'Veil' paintings within this sequence is problematic as most were not dated by the artist and remained unstretched and unexhibited for some time after his death.

Louis expressed little interest in the titles of his works at least from 1954 onwards. The paintings were only given titles when it became necessary, for example when a work left the studio for an exhibition.** Most paintings were therefore named posthumously. After Louis' death it was decided to title the 'Veils' with transliterations of names of the letters of the Hebrew alphabet. The pictures were titled arbitrarily, in order of being stretched. The title Dalet Zayin combines the fourth and seventh letters of the Hebrew alphabet.

Michael Lloyd & Michael Desmond European and American Paintings and Sculptures 1870-1970 in the Australian National Gallery 1992 p.300.

*Diane Upright Headley has dated the beginning of the second 'Veil' series at this date on the basis of a letter from Louis to Greenberg which mentions that a 'Veil' painting had been shown to a potential client in the spring of 1958. As this painting, Untitled 1958 (collection Mrs H. Gates Lloyd, Haverford, Pennsylvania), is a fully developed work it is likely that it was preceded by earlier trials (see Diana Upright Headley, 'In Addition to the Veils', Art in America, vol.66, no.1, January-February 1978, pp.84-94, cf. p.88)
**Even in the case of those works titled for exhibition, most of the titles it seems were suggested by the critic Clement Greenberg (see Diana Upright Headley, 'Morris Loius: The complete Paintings, New York: Harry N. Abrams, 1935, p.37) The generic title for Louis' series 'Veil', was coined by William Rubin (see William Rubin, letter to the editor, Artforum, vol. 9, no. 7, March 1971, p.78)."
Beth Zayin,Louis Morris,Color Field Painting,abstract,"The premise to Morris Louis' resplendent veil Beth Zayin was born out of his fastidious methodology that explored methods of paint application in an effort to preserve the picture-plane as a two-dimensional surface. Louis achieved this through an adaptation of a paint staining technique first revealed to him upon a visit to Helen Frankenthaler's studio in 1952 with Kenneth Noland. His resultant Veils would address formalist concerns of the canvas surface as an expansive, flat, nonfigural field. The Veils also share in the underlying principles contingent to Jackson Pollock's drip painting, as neither owed recourse to lines, edges, or contours denoting tangible things. (Michael Fried in Exh. Cat., Boston, Museum of Fine Arts, Morris Louis, 1912-1962, 1967, p. 11). In 1954, Louis's Veil paintings would immediately engage him with one of the most significant artistic circles of the time under the critical direction of Clement Greenberg. Greenberg professed the primacy of maintaining the integrity of formal principles in the basic elements of painting. With his color-stain technique, Louis's focus on the inherent nature of paint, canvas and color was in sympathy to Greenberg's teachings, and the critic included the spectral Veils in Louis's first solo exhibition at French & Company in New York.

Beth Zayin is abstinent of idiomatic brush application and is void of texture and gesture. Louis achieved this through the successive application of waves of synthetic acrylic resin paint, magna, which ebbed and flowed across the unprimed duck canvas. The final effects were suggestive of translucent color veils. The achievement of the technique would be hailed by art circles in the following years, ""Sometimes a direct manipulation of a given material without the use of any tool is made. In these cases considerations of gravity become as important as those of space;"" (Robert Morris, ""Anti-Form,"" Artforum 6, no. 8, April 1968, p. 35).

The monumental scale of the Veils, coupled with the vibrant saturation of pigment on the the surface of Beth Zayin, endows the present painting with a prowess that emulates the name it bears. Similar to the majority of the Veils, Beth Zayin was titled posthumously by the artist's estate. Zayin, the seventh letter of the Hebrew alphabet, literally means ""weapon"" or ""sword"", but derives from a root that means sustenance or nourishment. This verbal paradox appears to animate the painting's surface, as the bands of brilliant, curving color-shapes simultaneously submerge and emerge from the more somber, darker veils. While in some of the more melancholic Veils, the darker tones predominate, the spectrum of vivid color in Beth Zayin is ascendant, emerging from the edges of the darker veils and overpowering the composition with its primal force. Beth Zayin's expansive splendor and specific methodology exemplifies the triumph that is color-field painting."
Nexus II,Louis Morris,Color Field Painting,abstract,"'Nexus' means connection or link. The painting, made in 1959, marks the transition between two series of important paintings by Morris Louis, who created a new style of Abstract Expressionism in the last five years of his short life. The style was later called Post-painterly Abstraction by the critic Clement Greenberg. In Nexus II, plain fields of colour are pushed to the sides. Thin washes of denim blue on the left and jade green on the right are separated by an off-white panel. The effect of harmonious, even blissful, colour is intensified by the simplicity of means the artist uses, and the large size of the work."
Where,Louis Morris,Color Field Painting,abstract,"An iconic work in Morris Louis' oeuvre, ""Where"" represents the culmination of a ""theme"" that started with the ""Veil"" series. The stripes of pure, flat color (like a reconfigured rainbow) were in his earlier paintings hidden by a ""veil"" of paint, most often black and at times semi-transparent, being revealed only at the top edge of the painting. In slightly later paintings, such as ""Floral V"", the ""veil"" beings to be eliminated, only to be completely suppressed in ""Where"". The artist's intentions and methods of pouring the magna paint on canvas are not entirely known (not even his wife has seen him painting, as he used to paint before her wife returned from work). However, as art critic Clement Greenberg has suggested, Morris Louis, rejecting the dense surfaces and chaotic compositions of ""action painting"" as well as the dark tones of Rothko and Clyfford Still, preferred ""openness"" and ""clarity"". In general, Color Field painters' performance was to make color the very subject of their paintings. However, while certain painters such as Frank Stella and Ellsworth Kelly favored hard edges and systemic compositions, Morris Louis, even in his last ""column"" and ""stripe"" paintings (which used unmixed color, a tactic that further decreased the involvement of the painter's hand), couldn't be considered completely impersonal, thanks to the playful ends of some ""pillars"" and, in general, the vibrant colors the artist has chosen. Greenberg once written about Louis: ""He began to feel, think and conceive almost exclusively in terms of open color."""
Point of Tranquility,Louis Morris,Color Field Painting,abstract,"Point of Tranquility is an example of Louis' Floral Veils, the last series he completed before embarking on the Unfurleds. Louis created the Florals by turning the canvas as he poured the paint, as opposed to working from a single vantage point. Louis layers the acrylic in a pattern that suggests a flower, the bleeding pigment creating a muddled, washy surface at the center of the canvas. The ""veils"" are apparent in the overlap of pigment, where washes both obscure and reveal layers of thinned color."
Delta Theta,Louis Morris,Color Field Painting,abstract,"Delta Theta is a classic work from the Unfurled series, which are the most recognizable of Louis' oeuvre. Louis folded the massive canvas(almost 20 feet wide) before pouring the thinned acrylic, which soaks into the weave of the fabric in rainbows of color. Louis' work challenged the notion of ""completion,"" as he tended to leave large areas of the canvas untreated. Incorporating raw canvas into the final composition was a signature of the Color Field painters."
Partition,Louis Morris,Color Field Painting,abstract,"Partition is one of Louis' so-called Stripe series, all executed in the last months of his life. The vertical stripes evoke Barnett Newman's zip paintings, and, like Newman's work, these canvases are highly systematic and devoid of the painter's own expressive gesture. In these final works, Louis took the simplification of color and form to its extreme end, though he still exhibits interest in optical effects of color relationships and the fusing of paint and ground through his incorporation of the raw canvas into the composition."
Four Self-Portraits 05.3.81,Hamilton Richard,Pop Art,self-portrait,"‘Four Self-Portraits 05.3.81’ takes portraiture as its starting point, using new media to expand its boundaries. Instead of limiting the portrait to a single image, Hamilton uses four. In the early 1980s, the artist took Polaroids of himself and added layers of acrylic colour. After ten years, he digitally converted the photos into transparencies to be made into enlarged prints. Mounted on canvas, they epitomize the layered way in which Hamilton’s works deal with artistic media."
Suicide at Dawn,Brauner Victor,Surrealism,allegorical painting,"Suicide at Dawn presents a double figure literally, and fatally, divided against itself. The image floats against a black void, with bands of mottled gray above and below. Light falls on the left side of the pale figure. But highlights on the red figure suggest a light source to the right. The picture has no consistent perspective, no up or down, no sense of depth.

The Romanian artist Victor Brauner painted Suicide at Dawn in 1930, after fleeing to Paris to escape the rise of fascism in his home country. It may represent the artist’s conflicted self, or the struggle between life and death. It also recalls Romanian folk tales in which a hermit communes with his evil spirit double.

In Paris, Brauner met André Breton and other painters in the Surrealist movement, whose work he knew already. Works like Suicide at Dawn show that he had already achieved the Surrealists’ goal: to give visual expression to the inner reality of dreams, fantasy, and the unconscious."
Consciousness of Shock,Brauner Victor,Surrealism,symbolic painting,"A symbolic struggle is expressed between the human and bird halves of the hybrid form in Consciousness of Shock, in which Victor Brauner portrays a complex boat-shaped figure in the course of battling for control of itself. Drawn in the schematic profile style of Egyptian hieroglyphs, a large androgynous head unites with the raised prow of a boat elaborated with breasts. The body of the vessel, directed by rudderlike legs and feet, merges at the stern with the upright body of a bird. Two powerful hands, at the ends of crossed arms, suppress the internal battle by restraining the limbs of the bird, while a third hand doggedly forges progress along the river by paddling. Thus, in keeping with the nature of much psychic conflict, a difficult internal struggle is self-contained, while the vessel-self continues along a predetermined route.

Nicolas Calas has suggested that Brauner was inspired by two Egyptian themes, the “Sun Barge” and the “Heavenly Vault,” in the creation of this image. While a generalized Egyptian style undoubtedly influenced Brauner’s imagery, it seems more likely that the artist derived this fantastic visual vocabulary from his own imagination, rather from specific art-historical sources. (Elizabeth C. Childs)"
The Doll,Bellmer Hans,Surrealism,sculpture,"In the early 1930s, Bellmer created an almost life-sized figure of a young girl, which André Breton and Paul Eluard described as ‘the first and only Surrealist object with a universal, provocative power’. He recreated the doll in a variety of forms. This version makes the element of sexual fantasy explicit by reducing her to two sets of hips. It also derives from Bellmer’s desire to maximise the articulation of this substitute body/object through the use of ball joints. Indeed, this work was originally known as Ball Joint, and was exhibited in the 1936 Surrealist exhibition of objects held in Paris."
The Doll,Bellmer Hans,Surrealism,photo,"The Doll is a hand-coloured black-and-white photograph of a partially dismembered life-size doll sculpture. Partly influenced by Jacques Offenbach’s (1819-1880) final opera The Tales of Hoffmann, in which the hero falls in love with a realistic life-size mechanical doll, Hans Bellmer built his first Doll in 1933-4 and a second in 1935, of which this is a photograph.

Bellmer’s first Doll was an articulated construction of wood, plaster, metal rods, nuts and bolts which represented a young girl. A disquieting sculpture, it embodied a number of qualities of the surrealist object: subversive and erotic, sadistic and fetishistic. A German artist bitterly opposed to the Nazi regime, Bellmer moved to Paris in the late 1930s where he was embraced by the surrealist group and was described in the 1938 Dictionnaire abrégé du surréalisme as a ‘surrealist writer, painter, and builder of large dolls.’ (Quoted in Webb and Short 1985, p.53.)

The artist took a number of photographs of The Doll in various poses and stages of construction, ten of which were published with an accompanying text as Die Puppe in 1934. Eighteen of them were also published in the Surrealist review Minotaure in the same year (no.6, winter 1934). Soon the photographs of the Doll became as important as the sculpture itself: with their narrative function, they opened up new voyeuristic and fetishistic possibilities.

Bellmer completed a second doll sculpture in the autumn of 1935 and photographed it in different stages of dismemberment in over a hundred different scenarios, often shown wearing little white socks and the black patent leather shoes of young girls. The present photograph shows a version of the second Doll with no arms or legs, hanging from a tree. Her torso is actually a second pelvis placed back to front and upside-down on top of the central ball joint, which forms her stomach. The photograph is taken from below in a way that emphasises the doll’s breasts and genitals, while her face is partially obscured. Bellmer presents us with the aftermath of torture or abuse. Delicately hand-coloured in pale hues of yellow and green, the photograph, however, has a theatrical presence, as if to remind the viewer that it is a representation, rather than an act, of sadism.

With his Doll sculptures and photographs Bellmer appropriated and subverted the idea of the child’s toy. An erotic obsession, the Dolls incarnated his fascination for the corruption of innocence and for the writing of De Sade, whom he much admired. Yet, the art historian Hal Foster has written that there was also a masochistic subtext in the Doll photographs: ‘in his sadistic scenes Bellmer leaves behind masochistic traces; in his erotic manipulation of the dolls he explores a sadistic impulse that is also self-destructive. In this way the dolls may go inside sadistic mastery to the point where the subject confronts its greatest fear: its own fragmentation and disintegration.’ (Foster 2001, p.208.) The art historian Rosalind Krauss has also described Bellmer’s use of the Doll imagery as a tactic: ‘To produce the image of what one fears, in order to protect oneself from what one fears – this is the strategic achievement of anxiety, which arms the subject, in advance, against the onslaught of trauma, the blow that takes one by surprise.’ (Krauss 1997, p.196.)"
The Machine-Gunneress in a State of Grace,Bellmer Hans,Surrealism,sculpture,"Bellmer began creating disturbing dolls in 1933, the year Adolf Hitler assumed power in Germany. Many have interpreted them as acts of political defiance against the Aryan ideals and social norms promoted by the Nazis, whom he openly opposed, and expressions of the personal outrage he felt towards his father, who had joined the Nazi party. Bellmer himself stated, ""If the origin of my work is scandalous, it is because for me, the world is a scandal."" Made in Berlin one year before the artist left for Paris, where he lived for the better part of the rest of his life, this figure is violently fragmented, its body parts splayed and truncated and its scale distorted. Connected mechanically by ball joints, its appendages offer endless perverse recombinations, made all the more unsettling by suggesting the physical traits of both a mature woman and a prepubescent girl."
The Doll (Second Series),Bellmer Hans,Surrealism,photo,"Bellmer made his first doll in 1933 (see the note on T01157) and took a series of photographs of it in various states of dismemberment and rearrangement, and 'with the necessary background of vice and enchantment', which was first published as a book Die Puppein Karlsruhe in 1934, with a foreword by himself. The photographs were taken by Bellmer, while the settings were constructed by his brother.

His second series of photographs was based on the elements of the central sphere, sometimes with a head and sometimes with two pairs of legs, and was completed in December 1937. Some of the photographs were taken out of doors in the garden of his father's house. Bellmer took the photographs with him when he settled in Paris in 1938 and preparations were made for their publication. The foreword, which was originally written in German, was translated into French in 1938 with the help of Georges Hugnet, while the idea of hand-colouring the photographs (which had not been done in the case of the first series) was suggested by Paul Eluard. Eluard also wrote fourteen short prose poems in the winter of 1938-9 to accompany the photographs. However in the end the book was not published until after the war, in 1949, when it was brought out by Heinz Berggruen, in a very limited edition, as Les Jeux de la Poupée."
